"time","temperature","humidity","relay1","relay2","relay3"
"2026-05-04 13:58:32.625936+07","33.7","62.8",1,0,0
"2026-05-04 13:59:02.690802+07","33.7","62",1,0,0
"2026-05-04 13:59:32.722402+07","33.7","61.7",1,0,0
"2026-05-04 14:00:02.716557+07","33.7","62.9",1,0,0
"2026-05-04 14:00:32.886576+07","33.6","62.5",1,0,0
"2026-05-04 14:01:02.911479+07","33.6","63.8",1,0,0
"2026-05-04 14:01:32.821641+07","33.5","64.9",1,0,0
"2026-05-04 14:02:02.841123+07","33.4","68.3",1,0,0
"2026-05-04 14:02:32.858945+07","33","70.1",1,0,0
"2026-05-04 14:03:02.901399+07","32.7","71.9",1,0,0
"2026-05-04 14:03:32.909626+07","32.3","72.7",1,0,0
"2026-05-04 14:04:02.946866+07","32","74.2",1,0,0
"2026-05-04 14:04:32.983118+07","31.7","74.9",1,0,0
"2026-05-04 14:05:03.015431+07","31.6","75.9",1,0,0
"2026-05-04 14:05:33.060862+07","31.4","77.1",1,0,0
"2026-05-04 14:06:03.552785+07","31.3","77.7",1,0,0
"2026-05-04 14:06:33.127195+07","31.3","77.2",1,0,0
"2026-05-04 14:07:03.134562+07","31.2","76.6",1,0,0
"2026-05-04 14:07:33.173385+07","31.2","76.6",1,0,0
"2026-05-04 14:08:03.214548+07","31.3","76.6",1,0,0
"2026-05-04 14:08:33.247569+07","31.3","75.9",1,0,0
"2026-05-04 14:09:03.278948+07","31.3","73.8",1,0,0
"2026-05-04 14:09:33.309511+07","31.4","75.1",1,0,0
"2026-05-04 14:10:03.345985+07","31.5","77.1",1,0,0
"2026-05-04 14:10:33.381141+07","31.6","78.9",1,0,0
"2026-05-04 14:11:03.421161+07","31.6","78.8",1,0,0
"2026-05-04 14:11:33.453338+07","31.7","75.1",1,0,0
"2026-05-04 14:12:03.483542+07","31.8","73.6",1,0,0
"2026-05-04 14:12:33.498078+07","32.1","73.3",1,0,0
"2026-05-04 14:13:03.640883+07","32.2","72.4",1,0,0
"2026-05-04 14:13:33.570469+07","32.4","71.2",1,0,0
"2026-05-04 14:14:03.601354+07","32.5","70.7",1,0,0
"2026-05-04 14:14:33.635157+07","32.6","71.3",1,0,0
"2026-05-04 14:15:03.676285+07","32.7","67.7",1,0,0
"2026-05-04 14:15:33.705572+07","32.8","69.8",1,0,0
"2026-05-04 14:16:03.740953+07","32.9","67.9",1,0,0
"2026-05-04 14:16:33.766139+07","33.1","70.1",1,0,0
"2026-05-04 14:17:03.797087+07","33.2","68.4",1,0,0
"2026-05-04 14:17:33.853088+07","33.4","69.2",1,0,0
"2026-05-04 14:18:03.873481+07","33.6","67.5",1,0,0
"2026-05-04 14:18:33.909543+07","33.8","66.2",1,0,0
"2026-05-04 14:19:03.924271+07","34","65.4",1,0,0
"2026-05-04 14:19:34.068582+07","34.2","65.7",1,0,0
"2026-05-04 14:20:03.989268+07","34.5","66.7",1,0,0
"2026-05-04 14:20:34.04763+07","34.7","65.3",1,0,0
"2026-05-04 14:21:04.075699+07","35","64.6",1,0,0
"2026-05-04 14:21:34.11098+07","35.2","62.3",1,0,0
"2026-05-04 14:22:04.23386+07","35.4","60.9",1,0,0
"2026-05-04 14:22:34.292382+07","35.5","60.8",1,0,0
"2026-05-04 14:23:04.204471+07","35.6","61.1",1,0,0
"2026-05-04 14:23:34.236045+07","35.7","59.2",1,0,0
"2026-05-04 14:24:04.273283+07","35.7","60.2",1,0,0
"2026-05-04 14:24:34.300068+07","35.7","60.7",1,0,0
"2026-05-04 14:25:04.332103+07","35.8","60.4",1,0,0
"2026-05-04 14:25:34.375221+07","35.8","61.7",1,0,0
"2026-05-04 14:25:43.270818+07","35.9","59.9",1,0,1
"2026-05-04 14:25:44.379873+07","35.8","59.8",1,0,1
"2026-05-04 14:25:45.482822+07","35.9","60",1,0,1
"2026-05-04 14:25:46.614419+07","35.8","60.3",1,0,1
"2026-05-04 14:25:47.719888+07","35.8","60.6",1,0,1
"2026-05-04 14:25:48.834502+07","35.9","60.8",1,0,1
"2026-05-04 14:25:49.947947+07","35.9","60.9",1,0,1
"2026-05-04 14:25:51.168775+07","35.9","61",1,0,1
"2026-05-04 14:25:52.141166+07","35.9","61.2",1,0,1
"2026-05-04 14:25:53.395687+07","35.9","61.8",1,0,1
"2026-05-04 14:25:54.377196+07","35.9","62.5",1,0,1
"2026-05-04 14:25:55.510857+07","35.9","63.3",1,0,1
"2026-05-04 14:25:56.637138+07","35.9","64",1,0,1
"2026-05-04 14:25:57.733068+07","35.9","64.7",1,0,1
"2026-05-04 14:25:58.847519+07","35.9","65.4",1,0,1
"2026-05-04 14:25:59.994726+07","35.9","65.9",1,0,1
"2026-05-04 14:26:01.350628+07","35.9","66.4",1,0,1
"2026-05-04 14:26:02.162531+07","35.9","66.5",1,0,1
"2026-05-04 14:26:03.307094+07","35.9","66.6",1,0,1
"2026-05-04 14:26:04.424581+07","35.9","66.6",1,0,1
"2026-05-04 14:26:05.542975+07","35.9","66.7",1,0,1
"2026-05-04 14:26:06.636935+07","35.9","66.8",1,0,1
"2026-05-04 14:26:07.762148+07","35.9","67.2",1,0,1
"2026-05-04 14:26:08.860209+07","35.9","67.6",1,0,1
"2026-05-04 14:26:10.09293+07","35.9","68",1,0,1
"2026-05-04 14:26:11.075567+07","35.9","68.6",1,0,1
"2026-05-04 14:26:12.204397+07","35.9","68.8",1,0,1
"2026-05-04 14:26:13.431601+07","35.9","68.8",1,0,1
"2026-05-04 14:26:14.403294+07","35.8","69",1,0,1
"2026-05-04 14:26:15.563848+07","35.9","69.1",1,0,1
"2026-05-04 14:26:16.647821+07","35.8","69.2",1,0,1
"2026-05-04 14:26:17.78918+07","35.9","69.3",1,0,1
"2026-05-04 14:26:18.877899+07","35.8","69.4",1,0,1
"2026-05-04 14:26:19.998818+07","35.8","69.6",1,0,1
"2026-05-04 14:26:21.102056+07","35.8","70",1,0,1
"2026-05-04 14:26:22.29874+07","35.8","70.4",1,0,1
"2026-05-04 14:26:23.351975+07","35.8","70.9",1,0,1
"2026-05-04 14:26:24.437698+07","35.8","71.3",1,0,1
"2026-05-04 14:26:25.549201+07","35.8","71.6",1,0,1
"2026-05-04 14:26:55.600716+07","35.4","64.2",1,0,0
